"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app-routing.module.ts", "TypeScript", 29, 0, 0, 0, 4, 33
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app.component.html", "HTML", 0, 0, 1, 0, 1, 2
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app.component.ts", "TypeScript", 12, 0, 0, 0, 4, 16
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app.module.ts", "TypeScript", 34, 0, 0, 0, 2, 36
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\auth.module.ts", "TypeScript", 29, 0, 0, 0, 5, 34
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\auth.routing.module.ts", "TypeScript", 18, 0, 0, 0, 4, 22
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\guards\auth.guard.ts", "TypeScript", 23, 0, 0, 0, 10, 33
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\interfaces\jwt.interface.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\interfaces\user.interface.ts", "TypeScript", 14, 0, 0, 0, 2, 16
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\pages\login\login.component.html", "HTML", 0, 0, 48, 0, 11, 59
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\pages\login\login.component.spec.ts", "TypeScript", 17, 0, 0, 0, 6, 23
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\pages\login\login.component.ts", "TypeScript", 105, 0, 0, 6, 30, 141
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\services\auth.service.spec.ts", "TypeScript", 41, 0, 0, 6, 17, 64
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\services\auth.service.ts", "TypeScript", 79, 0, 0, 5, 34, 118
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\cocinero-routing.module.ts", "TypeScript", 23, 0, 0, 0, 6, 29
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\cocinero.module.ts", "TypeScript", 44, 0, 0, 0, 15, 59
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\components\side-bar-cocinero\side-bar-cocinero.component.html", "HTML", 0, 0, 17, 0, 10, 27
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\components\side-bar-cocinero\side-bar-cocinero.component.scss", "SCSS", 0, 12, 0, 0, 1, 13
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\components\side-bar-cocinero\side-bar-cocinero.component.spec.ts", "TypeScript", 17, 0, 0, 0, 5, 22
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\components\side-bar-cocinero\side-bar-cocinero.component.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\interfaces\order.interface.ts", "TypeScript", 23, 0, 0, 0, 6, 29
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\interfaces\orderHCocinero.interface.ts", "TypeScript", 54, 0, 0, 0, 11, 65
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\pages\manage-order\manage-order.component.html", "HTML", 0, 0, 95, 19, 26, 140
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\pages\manage-order\manage-order.component.scss", "SCSS", 0, 46, 0, 1, 5, 52
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\pages\manage-order\manage-order.component.ts", "TypeScript", 232, 0, 0, 31, 63, 326
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\cocinero\services\cocinero.service.ts", "TypeScript", 61, 0, 0, 3, 23, 87
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\api\customer.ts", "TypeScript", 18, 0, 0, 0, 3, 21
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\api\image.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\api\product.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\auth\access\access.component.html", "HTML", 0, 0, 18, 0, 0, 18
