Date : 2024-06-24 11:37:33
Directory : c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src
Total : 334 files,  243724 codes, 545 comments, 9923 blanks, all 254192 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         36 |    222,409 |        167 |      7,434 |    230,010 |
| JSON       |         16 |      7,421 |          0 |          7 |      7,428 |
| TypeScript |        176 |      6,904 |        169 |      1,580 |      8,653 |
| HTML       |         50 |      4,448 |        176 |        524 |      5,148 |
| SCSS       |         32 |      2,081 |         33 |        360 |      2,474 |
| XML        |         24 |        461 |          0 |         18 |        479 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                             |        334 |    243,724 |        545 |      9,923 |    254,192 |
| . (Files)                                                                                                                                                                                     |          5 |         67 |         24 |         30 |        121 |
| app                                                                                                                                                                                           |        235 |     12,725 |        342 |      2,323 |     15,390 |
| app (Files)                                                                                                                                                                                   |          4 |         76 |          0 |         11 |         87 |
| app\auth                                                                                                                                                                                      |         10 |        360 |          9 |         85 |        454 |
| app\auth (Files)                                                                                                                                                                              |          2 |         47 |          0 |          9 |         56 |
| app\auth\guards                                                                                                                                                                               |          1 |         23 |          0 |         10 |         33 |
| app\auth\interfaces                                                                                                                                                                           |          2 |         18 |          0 |          4 |         22 |
| app\auth\pages                                                                                                                                                                                |          3 |        175 |          3 |         36 |        214 |
| app\auth\pages\login                                                                                                                                                                          |          3 |        175 |          3 |         36 |        214 |
| app\auth\services                                                                                                                                                                             |          2 |         97 |          6 |         26 |        129 |
| app\cocinero                                                                                                                                                                                  |         12 |        430 |          8 |        109 |        547 |
| app\cocinero (Files)                                                                                                                                                                          |          2 |         67 |          0 |         21 |         88 |
| app\cocinero\components                                                                                                                                                                       |          4 |         58 |          0 |         19 |         77 |
| app\cocinero\components\side-bar-cocinero                                                                                                                                                     |          4 |         58 |          0 |         19 |         77 |
| app\cocinero\interfaces                                                                                                                                                                       |          2 |         77 |          0 |         17 |         94 |
| app\cocinero\pages                                                                                                                                                                            |          3 |        197 |          8 |         44 |        249 |
| app\cocinero\pages\manage-order                                                                                                                                                               |          3 |        197 |          8 |         44 |        249 |
| app\cocinero\services                                                                                                                                                                         |          1 |         31 |          0 |          8 |         39 |
| app\demo                                                                                                                                                                                      |        135 |      6,837 |         47 |        964 |      7,848 |
| app\demo\api                                                                                                                                                                                  |          3 |         40 |          0 |          5 |         45 |
| app\demo\components                                                                                                                                                                           |        123 |      6,620 |         45 |        899 |      7,564 |
| app\demo\components\auth                                                                                                                                                                      |         14 |        197 |          0 |         29 |        226 |
| app\demo\components\auth (Files)                                                                                                                                                              |          2 |         22 |          0 |          4 |         26 |
| app\demo\components\auth\access                                                                                                                                                               |          4 |         48 |          0 |          7 |         55 |
| app\demo\components\auth\error                                                                                                                                                                |          4 |         48 |          0 |          5 |         53 |
