Date : 2024-06-24 11:38:07
Directory : c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app
Total : 235 files,  12725 codes, 342 comments, 2323 blanks, all 15390 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        170 |      6,854 |        151 |      1,558 |      8,563 |
| HTML       |         49 |      4,430 |        176 |        520 |      5,126 |
| SCSS       |         16 |      1,441 |         15 |        245 |      1,701 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                             |        235 |     12,725 |        342 |      2,323 |     15,390 |
| . (Files)                                                                                                                                                                                     |          4 |         76 |          0 |         11 |         87 |
| auth                                                                                                                                                                                          |         10 |        360 |          9 |         85 |        454 |
| auth (Files)                                                                                                                                                                                  |          2 |         47 |          0 |          9 |         56 |
| auth\guards                                                                                                                                                                                   |          1 |         23 |          0 |         10 |         33 |
| auth\interfaces                                                                                                                                                                               |          2 |         18 |          0 |          4 |         22 |
| auth\pages                                                                                                                                                                                    |          3 |        175 |          3 |         36 |        214 |
| auth\pages\login                                                                                                                                                                              |          3 |        175 |          3 |         36 |        214 |
| auth\services                                                                                                                                                                                 |          2 |         97 |          6 |         26 |        129 |
| cocinero                                                                                                                                                                                      |         12 |        430 |          8 |        109 |        547 |
| cocinero (Files)                                                                                                                                                                              |          2 |         67 |          0 |         21 |         88 |
| cocinero\components                                                                                                                                                                           |          4 |         58 |          0 |         19 |         77 |
| cocinero\components\side-bar-cocinero                                                                                                                                                         |          4 |         58 |          0 |         19 |         77 |
| cocinero\interfaces                                                                                                                                                                           |          2 |         77 |          0 |         17 |         94 |
| cocinero\pages                                                                                                                                                                                |          3 |        197 |          8 |         44 |        249 |
| cocinero\pages\manage-order                                                                                                                                                                   |          3 |        197 |          8 |         44 |        249 |
| cocinero\services                                                                                                                                                                             |          1 |         31 |          0 |          8 |         39 |
| demo                                                                                                                                                                                          |        135 |      6,837 |         47 |        964 |      7,848 |
| demo\api                                                                                                                                                                                      |          3 |         40 |          0 |          5 |         45 |
| demo\components                                                                                                                                                                               |        123 |      6,620 |         45 |        899 |      7,564 |
| demo\components\auth                                                                                                                                                                          |         14 |        197 |          0 |         29 |        226 |
| demo\components\auth (Files)                                                                                                                                                                  |          2 |         22 |          0 |          4 |         26 |
| demo\components\auth\access                                                                                                                                                                   |          4 |         48 |          0 |          7 |         55 |
| demo\components\auth\error                                                                                                                                                                    |          4 |         48 |          0 |          5 |         53 |
| demo\components\auth\login                                                                                                                                                                    |          4 |         79 |          0 |         13 |         92 |
| demo\components\dashboard                                                                                                                                                                     |          4 |        358 |          0 |         26 |        384 |
| demo\components\documentation                                                                                                                                                                 |          5 |        133 |          0 |         35 |        168 |
| demo\components\landing                                                                                                                                                                       |          4 |        377 |          0 |         35 |        412 |
| demo\components\notfound                                                                                                                                                                      |          2 |         45 |          0 |          1 |         46 |
| demo\components\pages                                                                                                                                                                         |         15 |        742 |         38 |        190 |        970 |
| demo\components\pages (Files)                                                                                                                                                                 |          2 |         23 |          0 |          4 |         27 |
| demo\components\pages\crud                                                                                                                                                                    |          4 |        263 |          2 |         44 |        309 |
| demo\components\pages\empty                                                                                                                                                                   |          4 |        302 |         36 |        124 |        462 |
| demo\components\pages\timeline                                                                                                                                                                |          5 |        154 |          0 |         18 |        172 |
| demo\components\primeblocks                                                                                                                                                                   |          6 |        961 |          1 |         75 |      1,037 |
| demo\components\primeblocks (Files)                                                                                                                                                           |          2 |         39 |          0 |          4 |         43 |
| demo\components\primeblocks\blocks                                                                                                                                                            |          2 |        778 |          0 |         39 |        817 |
| demo\components\primeblocks\blockviewer                                                                                                                                                       |          2 |        144 |          1 |         32 |        177 |
| demo\components\uikit                                                                                                                                                                         |         69 |      3,709 |          6 |        480 |      4,195 |
| demo\components\uikit (Files)                                                                                                                                                                 |          2 |         35 |          0 |          4 |         39 |
| demo\components\uikit\button                                                                                                                                                                  |          4 |        210 |          0 |         23 |        233 |
| demo\components\uikit\charts                                                                                                                                                                  |          4 |        296 |          0 |         37 |        333 |
| demo\components\uikit\file                                                                                                                                                                    |          4 |         62 |          0 |         15 |         77 |
| demo\components\uikit\floatlabel                                                                                                                                                              |          4 |        177 |          3 |         26 |        206 |
| demo\components\uikit\formlayout                                                                                                                                                              |          4 |        169 |          0 |         20 |        189 |
| demo\components\uikit\input                                                                                                                                                                   |          4 |        307 |          0 |         49 |        356 |
| demo\components\uikit\invalid                                                                                                                                                                 |          4 |        141 |          2 |         28 |        171 |
| demo\components\uikit\list                                                                                                                                                                    |          4 |        177 |          0 |         28 |        205 |
| demo\components\uikit\media                                                                                                                                                                   |          4 |        135 |          0 |         17 |        152 |
| demo\components\uikit\menus                                                                                                                                                                   |          7 |        608 |          0 |         64 |        672 |
| demo\components\uikit\messages                                                                                                                                                                |          4 |        121 |          0 |         23 |        144 |
| demo\components\uikit\misc                                                                                                                                                                    |          4 |        224 |          0 |         28 |        252 |
| demo\components\uikit\overlays                                                                                                                                                                |          4 |        224 |          0 |         33 |        257 |
| demo\components\uikit\panels                                                                                                                                                                  |          4 |        278 |          0 |         26 |        304 |
| demo\components\uikit\table                                                                                                                                                                   |          4 |        449 |          1 |         42 |        492 |
| demo\components\uikit\tree                                                                                                                                                                    |          4 |         96 |          0 |         17 |        113 |
| demo\components\utilities                                                                                                                                                                     |          4 |         98 |          0 |         28 |        126 |
| demo\components\utilities (Files)                                                                                                                                                             |          2 |         25 |          0 |          4 |         29 |
| demo\components\utilities\icons                                                                                                                                                               |          2 |         73 |          0 |         24 |         97 |
| demo\interfaces                                                                                                                                                                               |          1 |          5 |          0 |          1 |          6 |
| demo\service                                                                                                                                                                                  |          8 |        172 |          2 |         59 |        233 |
| duenia                                                                                                                                                                                        |         29 |      1,474 |         80 |        392 |      1,946 |
| duenia (Files)                                                                                                                                                                                |          2 |        123 |          0 |         14 |        137 |
| duenia\components                                                                                                                                                                             |          3 |         85 |          3 |         27 |        115 |
| duenia\components\side-bar                                                                                                                                                                    |          3 |         85 |          3 |         27 |        115 |
| duenia\interfaces                                                                                                                                                                             |          4 |         53 |          2 |         32 |         87 |
| duenia\pages                                                                                                                                                                                  |         19 |      1,083 |         68 |        279 |      1,430 |
| duenia\pages\main-menu                                                                                                                                                                        |          3 |         42 |          0 |         14 |         56 |
| duenia\pages\manage-category                                                                                                                                                                  |          4 |        243 |         11 |         66 |        320 |
| duenia\pages\manage-dishes                                                                                                                                                                    |          3 |        466 |         24 |        111 |        601 |
| duenia\pages\manage-menu                                                                                                                                                                      |          3 |        179 |         16 |         53 |        248 |
| duenia\pages\report                                                                                                                                                                           |          3 |         53 |          0 |         18 |         71 |
| duenia\pages\sales                                                                                                                                                                            |          3 |        100 |         17 |         17 |        134 |
| duenia\services                                                                                                                                                                               |          1 |        130 |          7 |         40 |        177 |
| interceptors                                                                                                                                                                                  |          2 |         34 |          0 |         12 |         46 |
| layout                                                                                                                                                                                        |         18 |        953 |          4 |        144 |      1,101 |
| layout (Files)                                                                                                                                                                                |         13 |        534 |          4 |         84 |        622 |
| layout\api                                                                                                                                                                                    |          1 |          4 |          0 |          0 |          4 |
| layout\config                                                                                                                                                                                 |          3 |        334 |          0 |         39 |        373 |
| layout\service                                                                                                                                                                                |          1 |         81 |          0 |         21 |        102 |
| mesera                                                                                                                                                                                        |         25 |      2,561 |        194 |        606 |      3,361 |
| mesera (Files)                                                                                                                                                                                |          2 |         96 |          1 |         17 |        114 |
| mesera\components                                                                                                                                                                             |          4 |         64 |          0 |         17 |         81 |
| mesera\components\side-bar-mesera                                                                                                                                                             |          4 |         64 |          0 |         17 |         81 |
| mesera\interfaces                                                                                                                                                                             |          7 |        115 |          2 |         30 |        147 |
| mesera\pages                                                                                                                                                                                  |         10 |      2,115 |        176 |        467 |      2,758 |
| mesera\pages\register-order                                                                                                                                                                   |          7 |      1,786 |        130 |        372 |      2,288 |
| mesera\pages\register-order (Files)                                                                                                                                                           |          3 |        974 |        120 |        228 |      1,322 |
| mesera\pages\register-order\payment-component                                                                                                                                                 |          1 |        230 |          4 |         39 |        273 |
| mesera\pages\register-order\platillos-component                                                                                                                                               |          3 |        582 |          6 |        105 |        693 |
| mesera\pages\select-tables                                                                                                                                                                    |          3 |        329 |         46 |         95 |        470 |
| mesera\services                                                                                                                                                                               |          2 |        171 |         15 |         75 |        261 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                      | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app-routing.module.ts                                                     | TypeScript |         29 |          0 |          4 |         33 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app.component.html                                                        | HTML       |          1 |          0 |          1 |          2 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app.component.ts                                                          | TypeScript |         12 |          0 |          4 |         16 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\app.module.ts                                                             | TypeScript |         34 |          0 |          2 |         36 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\auth.module.ts                                                       | TypeScript |         29 |          0 |          5 |         34 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\auth.routing.module.ts                                               | TypeScript |         18 |          0 |          4 |         22 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\guards\auth.guard.ts                                                 | TypeScript |         23 |          0 |         10 |         33 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\interfaces\jwt.interface.ts                                          | TypeScript |          4 |          0 |          2 |          6 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\interfaces\user.interface.ts                                         | TypeScript |         14 |          0 |          2 |         16 |
| c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\auth\pages\login\login.component.html                                     | HTML       |         48 |          0 |         11 |         59 |
